run_id,success,time_s,steps
0000,False,6.000,62
0001,True,9.200,93
0002,False,6.000,62
0003,True,9.200,94
0004,False,6.000,62
0005,False,6.000,62
0006,False,6.000,62
0007,True,9.200,93
0008,False,6.100,63
0009,False,6.000,62
0010,False,6.100,63
0011,True,9.200,93
0012,False,6.000,62
0013,True,9.200,93
0014,True,9.200,93
0015,False,6.000,62
0016,False,6.000,62
0017,False,6.000,62
0018,False,6.000,62
0019,True,9.200,93
0020,False,6.000,62
0021,False,6.000,62
0022,False,6.000,62
0023,False,6.000,62
0024,False,6.000,62
0025,False,6.000,62
0026,False,6.000,62
0027,True,9.200,93
0028,True,9.200,93
0029,False,6.000,62
0030,False,6.000,62
0031,True,9.200,94
0032,False,6.000,62
0033,False,6.000,62
0034,False,6.000,62
0035,False,6.000,62
0036,True,9.200,94
0037,False,6.100,63
0038,False,6.100,63
0039,True,9.200,93
0040,False,6.000,62
0041,True,9.200,93
0042,False,6.000,62
0043,False,6.000,62
0044,True,9.200,93
0045,True,9.200,93
0046,True,9.200,94
0047,False,6.000,62
0048,True,9.200,94
0049,True,9.200,94
0050,False,6.000,62
0051,True,9.200,93
0052,False,6.000,62
0053,False,6.100,63
0054,False,6.000,62
0055,False,6.000,62
0056,False,6.000,62
0057,True,9.200,93
0058,True,9.200,93
0059,False,6.000,62
0060,False,6.000,62
0061,True,9.200,93
0062,True,9.200,93
0063,True,9.200,94
0064,True,9.200,93
0065,False,6.000,62
0066,True,9.200,93
0067,True,9.200,94
0068,False,6.100,63
0069,False,6.000,62
0070,True,9.200,93
0071,False,6.100,63
0072,False,6.000,62
0073,False,6.200,64
0074,True,9.200,93
0075,True,9.200,94
0076,True,9.200,93
0077,True,9.200,93
0078,False,6.000,62
0079,False,6.300,65
0080,False,6.200,64
0081,True,9.200,93
0082,True,9.200,93
0083,True,9.200,93
0084,False,6.000,62
0085,True,9.200,94
0086,True,9.200,93
0087,False,6.000,62
0088,False,6.000,62
0089,True,9.200,94
0090,True,9.200,93
0091,False,6.000,62
0092,False,6.100,63
0093,True,9.200,93
0094,False,6.000,62
0095,False,6.000,62
0096,True,9.200,94
0097,True,9.200,93
0098,False,6.000,62
0099,True,9.200,93
0100,True,9.200,93
0101,True,9.200,94
0102,False,6.200,64
0103,True,9.200,94
0104,False,6.000,62
0105,True,9.200,93
0106,False,6.000,62
0107,True,9.200,93
0108,False,6.000,62
0109,False,6.000,62
0110,False,6.000,62
0111,False,6.100,63
0112,True,9.200,94
0113,False,6.000,62
0114,True,9.200,93
0115,True,9.200,94
0116,True,9.200,93
0117,False,6.000,62
0118,False,6.000,62
0119,True,9.200,93
0120,False,6.000,62
0121,False,6.200,64
0122,False,6.000,62
0123,False,6.000,62
0124,False,6.000,62
0125,False,6.000,62
0126,False,6.000,62
0127,False,6.000,62
0128,False,6.000,62
0129,True,9.200,94
0130,False,6.000,62
0131,False,6.000,62
0132,False,6.100,63
0133,True,9.200,94
0134,False,6.000,62
0135,True,9.200,93
0136,True,9.200,94
0137,True,9.200,94
0138,True,9.200,93
0139,False,6.000,62
0140,False,6.000,62
0141,True,9.200,94
0142,False,6.000,62
0143,True,9.200,94
0144,True,9.200,93
0145,False,6.000,62
0146,True,9.200,94
0147,True,9.200,93
0148,False,6.000,62
0149,False,6.100,63
0150,False,6.000,62
0151,True,9.200,93
0152,False,6.200,64
0153,False,6.000,62
0154,True,9.200,94
0155,False,6.000,62
0156,False,6.000,62
0157,False,6.100,63
0158,True,9.200,93
0159,False,6.100,63
0160,False,6.100,63
0161,False,6.000,62
0162,False,6.000,62
0163,False,6.100,63
0164,False,6.000,62
0165,False,6.100,63
0166,True,9.200,93
0167,False,6.000,62
0168,True,9.200,94
0169,True,9.200,93
0170,False,6.000,62
0171,True,9.200,94
0172,False,6.000,62
0173,False,6.000,62
0174,True,9.200,94
0175,True,9.200,93
0176,False,6.100,63
0177,True,9.200,94
0178,True,9.200,94
0179,True,9.200,93
0180,True,9.200,93
0181,False,6.000,62
0182,False,6.100,63
0183,False,6.000,62
0184,True,9.200,93
0185,True,9.200,93
0186,False,6.000,62
0187,False,6.000,62
0188,False,6.200,64
0189,True,9.200,94
0190,False,6.100,63
0191,True,9.200,94
0192,False,6.100,63
0193,False,6.000,62
0194,False,6.000,62
0195,False,6.000,62
0196,False,6.000,62
0197,False,6.000,62
0198,False,6.000,62
0199,False,6.000,62
0200,False,6.000,62
0201,False,6.000,62
0202,True,9.200,93
0203,True,9.200,94
0204,True,9.200,93
0205,False,6.000,62
0206,False,6.000,62
0207,False,6.000,62
0208,False,6.000,62
0209,True,9.200,93
0210,True,9.200,93
