run_id,success,time_s,steps
0000,True,9.200,94
0001,True,9.200,94
0002,True,9.200,94
0003,True,9.200,94
0004,True,9.200,94
0005,True,9.200,94
0006,True,9.200,94
0007,True,9.200,94
0008,True,9.200,94
0009,True,9.200,94
0010,True,9.200,94
0011,True,9.200,94
0012,True,9.200,93
0013,True,9.200,93
0014,True,9.200,94
0015,True,9.200,94
0016,True,9.200,94
0017,True,9.200,94
0018,True,9.200,94
0019,True,9.200,94
0020,True,9.200,94
0021,True,9.200,94
0022,True,9.200,94
0023,True,9.200,94
0024,True,9.200,94
0025,True,9.200,94
0026,True,9.200,94
0027,True,9.200,94
0028,True,9.200,94
0029,True,9.200,94
0030,True,9.200,94
0031,True,9.200,94
0032,True,9.200,93
0033,True,9.200,94
0034,True,9.200,94
0035,True,9.200,94
0036,True,9.200,94
0037,True,9.200,94
0038,True,9.200,94
0039,True,9.200,94
0040,True,9.200,94
0041,True,9.200,94
0042,True,9.200,94
0043,True,9.200,94
0044,True,9.200,93
0045,True,9.200,94
0046,True,9.200,94
0047,True,9.200,94
0048,True,9.200,94
0049,True,9.200,94
0050,True,9.200,94
0051,True,9.200,94
0052,True,9.200,94
0053,True,9.200,94
0054,True,9.200,94
0055,True,9.200,94
0056,True,9.200,94
0057,True,9.200,94
0058,True,9.200,94
0059,True,9.200,94
0060,True,9.200,94
0061,True,9.200,94
0062,True,9.200,94
0063,True,9.200,94
0064,True,9.200,94
0065,True,9.200,94
0066,True,9.200,94
0067,True,9.200,94
0068,True,9.200,94
0069,True,9.200,93
0070,True,9.200,94
0071,True,9.200,94
0072,True,9.200,94
0073,True,9.200,94
0074,True,9.200,94
0075,True,9.200,94
0076,True,9.200,94
0077,True,9.200,94
0078,True,9.200,93
0079,True,9.200,94
0080,True,9.200,94
0081,True,9.200,94
0082,True,9.200,94
0083,True,9.200,94
0084,True,9.200,94
0085,True,9.200,94
0086,True,9.200,94
0087,True,9.200,94
0088,True,9.200,94
0089,True,9.200,94
0090,True,9.200,94
0091,True,9.200,94
0092,True,9.200,94
0093,True,9.200,94
0094,True,9.200,94
0095,True,9.200,94
0096,True,9.200,94
0097,True,9.200,94
0098,True,9.200,94
0099,True,9.200,94
