t,x,y,yaw,v_cmd,w_cmd,min_clearance,event,event_detail,in_wet,human_phase,near_stop
0.0,1.1792011536285545,1.0169394963973326,0.0942477796076938,1.8,0.9424777960769379,0.9669394963973326,,,0,none,0
0.1,1.356365724394211,1.0487626776559789,0.1777296571353113,1.8,0.8348187752761751,0.9669394963973326,,,0,none,0
0.2,1.530694591498897,1.0935895233401978,0.25168686566383935,1.8,0.7395720852852801,0.9669394963973326,,,0,none,0
0.30000000000000004,1.7017140031519298,1.1497354122177503,0.3172148751771543,1.8,0.6552800951331486,0.9669394963973326,,,0,none,0
0.4,1.8691868282668644,1.215711565849366,0.37528121450728313,1.8,0.580663393301287,0.9669394963973326,,,0,none,0
0.5,2.033044344557262,1.2902146822616483,0.4267409206903968,1.8,0.5145970618311366,0.9669394963973326,,,0,none,0
0.6,2.1933346239588554,1.3721111188713027,0.4723499831451884,1.8,0.4560906245479165,0.9669394963973326,,,0,none,0
0.7,2.3501840024975804,1.4604189466784439,0.512777080849996,1.8,0.4042709770480778,0.9669394963973326,,,0,none,0
0.7999999999999999,2.503768682480574,1.5542898477848117,0.5486138568588266,1.8,0.3583677600883055,0.9669394963973326,,,0,none,0
0.8999999999999999,2.6542940756265994,1.652991955250835,0.5803839323661765,1.8,0.31770075507349843,0.9669394963973326,,,0,none,0
0.9999999999999999,2.801979996762079,1.7558941840817253,0.6085508292685394,1.8,0.28166896902362965,0.9669394963973326,,,0,none,0
1.0999999999999999,2.9470502390682354,1.8624522658833094,0.6335249436361979,1.8,0.2497411436765839,0.9669394963973326,,,0,none,0
1.2,3.0897254033869426,1.9721965025731234,0.655669691103789,1.8,0.22144747467590875,0.9669394963973326,,,0,none,0
1.3,3.2302181242762003,2.084721145994612,0.6753069277236255,1.8,0.19637236619836607,0.9669394963973326,,,0,none,0
1.4000000000000001,3.368730045723825,2.1996752569123474,0.6927217354182362,1.8,0.174148076946107,0.9669394963973326,,,0,none,0
1.5000000000000002,3.505450061071422,2.3167548768440542,0.7081666491591783,1.8,0.15444913740941982,0.9669394963973326,,,0,none,0
1.6000000000000003,3.640553454933989,2.4356963455032905,0.7218653928937454,1.8,0.136987437345671,0.9669394963973326,,,0,none,0
1.7000000000000004,3.7742016782540286,2.5562706064522875,0.7340161826661759,1.8,0.12150789772430581,0.9669394963973326,,,0,none,0
1.8000000000000005,3.906542558002625,2.6782783584493126,0.7447946480502119,1.8,0.10778465384036053,0.9669394963973326,,,0,none,0
1.9000000000000006,4.0377107958826235,2.801545926655456,0.754356416705221,1.8,0.09561768655009022,0.9669394963973326,,,0,none,0
2.0000000000000004,4.167828649934993,2.9259217444690737,0.762839401416515,1.8,0.08482984711294037,0.9669394963973326,,,0,none,0
2.1000000000000005,4.29700672245238,3.0512733522796345,0.7703658242457974,1.8,0.07526422829282477,0.9669394963973326,,,0,none,0
2.2000000000000006,4.425344799544507,3.1774848334067305,0.7770440082906218,1.8,0.06678184044824764,0.9669394963973326,,,0,none,0
2.3000000000000007,4.552932703959678,3.304454619761379,0.7829699639436675,1.8,0.05925955653045811,0.9669394963973326,,,0,none,0
2.400000000000001,4.6798511347663965,3.4320936103620583,0.7882287933806154,1.8,0.052588294369480516,0.9669394963973326,,,0,none,0
2.500000000000001,4.806172476309844,3.5603235548783987,0.7928959342288827,1.8,0.04667140848267515,0.9669394963973326,,,0,none,0
2.600000000000001,4.931961565285379,3.689075662025059,0.7970382609275546,1.8,0.04142326698671965,0.9669394963973326,,,0,none,0
2.700000000000001,5.057276409420468,3.818289399063341,0.8007150601384968,1.8,0.03676799210942221,0.9669394963973326,,,0,none,0
2.800000000000001,5.182168854582172,3.9479114540598994,0.8039788946730738,1.8,0.03263834534576943,0.9669394963973326,,,0,none,0
2.9000000000000012,5.306685199470384,4.077894837058188,0.8068763687265598,1.8,0.028974740534858334,0.9669394963973326,,,0,none,0
3.0000000000000013,5.430866758673343,4.208198100079197,0.8094488057359541,1.8,0.02572437009394335,0.9669394963973326,,,0,none,0
3.1000000000000014,5.554750375943124,4.338784659005276,0.8117328488728343,1.8,0.022840431368799763,0.9669394963973326,,,0,none,0
3.2000000000000015,5.67836889023851,4.469622203018457,0.8137609930304867,1.8,0.02028144157652445,0.9669394963973326,,,0,none,0
3.3000000000000016,5.801751557488101,4.600682179450535,0.8155620561458655,1.8,0.018010631153791045,0.9669394963973326,,,0,none,0
3.4000000000000017,5.924924431228045,4.731939343729838,0.8171615967961464,1.8,0.01599540650280815,0.9669394963973326,,,0,none,0
3.5000000000000018,6.047910705325927,4.863371365640484,0.8185822842129572,1.8,0.014206874168107574,0.9669394963973326,,,0,none,0
3.600000000000002,6.170731021959518,4.9949584843946555,0.8198442261526088,1.8,0.012619419396514786,0.9669394963973326,,,0,none,0
3.700000000000002,6.293403747908975,5.126683206099161,0.8209652594370928,1.8,0.01121033284484092,0.9669394963973326,,,0,none,0
3.800000000000002,6.415945222067779,5.258530038108835,0.8219612074288615,1.8,0.009959479917688085,0.9669394963973326,,,0,none,0
3.900000000000002,6.538369976898622,5.390485255529776,0.8228461082141004,1.8,0.008849007852389157,0.9669394963973326,,,0,none,0
4.000000000000002,6.660690936368394,5.522536695788466,0.8236324168370359,1.8,0.007863086229356674,0.9669394963973326,,,0,none,0
4.100000000000001,6.782919592700183,5.654673577737926,0.8243311845452856,1.8,0.0069876770824976115,0.9669394963973326,,,0,none,0
4.200000000000001,6.9050661640861675,5.786886342245172,0.8249522176676348,1.8,0.006210331223492282,0.9669394963973326,,,0,none,0
