run_id,success,time_s,steps
0000,False,4.400,46
0001,False,4.400,46
0002,False,4.400,46
0003,False,4.400,46
0004,True,8.400,85
0005,False,4.400,46
0006,True,8.400,85
0007,False,4.400,46
0008,False,4.400,46
0009,False,4.400,46
0010,True,8.400,85
0011,False,4.400,45
0012,False,4.400,46
0013,False,4.400,46
0014,False,4.400,46
0015,False,4.400,46
0016,False,4.400,46
0017,True,8.400,85
0018,False,4.400,46
0019,False,4.400,45
0020,False,4.400,46
0021,False,4.400,46
0022,True,8.400,85
0023,False,4.400,46
0024,False,4.400,46
0025,False,4.400,46
0026,False,4.400,46
0027,False,4.400,46
0028,True,8.400,85
0029,False,4.400,46
0030,False,4.400,46
0031,False,4.400,46
0032,False,4.400,46
0033,False,4.400,46
0034,False,4.400,46
0035,False,4.400,46
0036,False,4.400,46
0037,True,8.400,85
0038,False,4.400,46
0039,False,4.400,46
0040,False,4.400,46
0041,False,4.400,46
0042,False,4.400,46
0043,False,4.400,46
0044,False,4.400,46
0045,True,8.400,85
0046,False,4.400,46
0047,False,4.400,46
0048,False,4.400,46
0049,False,4.600,48
0050,True,8.400,85
0051,False,4.400,45
0052,False,4.400,46
0053,False,4.400,45
0054,False,4.400,46
0055,False,4.400,46
0056,False,4.400,46
0057,True,8.400,85
0058,False,4.400,45
0059,True,8.400,85
0060,False,4.400,46
0061,True,8.400,85
0062,False,4.400,46
0063,True,8.400,85
0064,True,8.400,85
0065,False,4.400,46
0066,False,4.400,46
0067,False,4.400,46
0068,True,8.400,85
0069,False,4.400,46
0070,False,4.400,46
0071,False,4.400,46
0072,True,8.400,85
0073,False,4.400,46
0074,False,4.400,46
0075,False,4.400,46
0076,False,4.400,46
0077,False,4.400,46
0078,False,4.400,46
0079,False,4.400,46
0080,True,8.400,85
0081,False,4.400,46
0082,False,4.400,46
0083,False,4.400,46
0084,True,8.400,85
0085,True,8.400,85
0086,False,4.400,45
0087,False,4.400,46
0088,False,4.400,46
0089,True,8.400,85
0090,True,8.400,85
0091,False,4.400,46
0092,False,4.400,46
0093,True,8.400,85
0094,True,8.400,85
0095,False,4.400,46
0096,False,4.400,46
0097,False,4.400,46
0098,False,4.400,46
0099,False,4.400,46
0100,True,8.400,85
0101,True,8.400,85
0102,False,4.400,46
0103,False,4.400,46
0104,False,4.400,46
0105,False,4.400,46
0106,False,4.400,46
0107,True,8.400,85
0108,False,4.400,46
0109,False,4.400,46
0110,False,4.400,46
0111,True,8.400,85
0112,False,4.400,46
0113,False,4.400,46
0114,False,4.400,46
0115,False,4.400,46
0116,False,4.400,46
0117,False,4.400,46
0118,False,4.400,46
0119,False,4.400,46
0120,False,4.400,46
0121,True,8.400,85
0122,True,8.400,85
0123,False,4.400,46
0124,False,4.400,46
0125,True,8.400,85
0126,False,4.400,46
0127,True,8.400,85
0128,False,4.400,46
0129,False,4.400,46
0130,True,8.400,85
0131,True,8.400,85
0132,False,4.400,46
0133,False,4.400,46
0134,False,4.400,46
0135,False,4.700,49
0136,False,4.400,46
0137,False,4.400,45
0138,False,4.400,46
0139,False,4.400,46
0140,False,4.400,46
0141,False,4.400,45
0142,True,8.400,85
0143,False,4.400,46
0144,True,8.400,85
0145,False,4.400,45
0146,False,4.400,46
0147,False,4.400,46
0148,True,8.400,85
0149,False,4.600,48
0150,True,8.400,85
0151,True,8.400,85
0152,False,4.400,46
0153,False,4.400,46
0154,True,8.400,85
0155,False,4.400,46
0156,True,8.400,85
0157,True,8.400,85
0158,True,8.400,85
0159,False,4.400,46
0160,False,4.400,46
0161,True,8.400,85
0162,False,4.400,46
0163,False,4.400,46
0164,False,4.400,46
0165,False,4.400,46
0166,False,4.400,46
0167,False,4.400,46
0168,False,4.400,46
0169,False,4.400,46
0170,False,4.400,46
0171,False,4.400,46
0172,False,4.400,46
0173,False,4.400,45
0174,False,4.400,46
0175,False,4.400,46
0176,False,4.400,46
0177,False,4.400,46
0178,False,4.400,46
0179,True,8.400,85
0180,False,4.400,46
0181,False,4.400,46
0182,False,4.400,45
0183,False,4.400,45
0184,False,4.400,46
0185,False,4.400,46
0186,False,4.400,46
0187,False,4.400,46
0188,False,4.400,46
0189,False,4.400,46
0190,False,4.400,46
0191,False,4.400,46
0192,False,4.400,46
0193,False,4.400,46
0194,False,4.400,46
0195,False,4.400,46
0196,False,4.400,46
0197,False,4.400,46
0198,False,4.400,45
0199,False,4.400,46
0200,True,8.400,85
0201,False,4.400,46
0202,False,4.400,46
0203,True,8.400,85
0204,False,4.400,46
0205,False,4.400,46
0206,False,4.400,46
0207,False,4.400,46
0208,True,8.400,85
0209,False,4.400,45
0210,False,4.400,46
0211,True,8.400,85
0212,False,4.400,46
0213,False,4.400,46
0214,True,8.400,85
0215,False,4.400,46
0216,False,4.400,46
0217,False,4.400,46
0218,False,4.500,47
0219,False,4.400,46
0220,True,8.400,85
0221,True,8.400,85
0222,False,4.400,46
0223,False,4.400,46
0224,False,4.400,46
0225,False,4.400,46
0226,False,4.400,45
0227,False,4.400,46
0228,True,8.400,85
0229,False,4.400,46
0230,False,4.400,46
0231,False,4.400,46
0232,False,4.400,46
0233,False,4.400,46
0234,True,8.400,85
0235,False,4.400,46
0236,False,4.400,45
0237,False,4.400,46
0238,False,4.400,46
0239,False,4.400,46
0240,False,4.400,46
0241,False,4.400,46
0242,True,8.400,85
0243,False,4.400,46
0244,False,4.400,46
0245,False,4.400,46
0246,True,8.400,85
0247,False,4.400,46
0248,False,4.400,46
0249,False,4.400,46
0250,False,4.400,46
0251,False,4.400,46
0252,False,4.400,46
0253,False,4.400,46
0254,True,8.400,85
0255,False,4.400,46
0256,False,4.400,46
0257,True,8.400,85
0258,False,4.400,46
0259,False,4.400,46
0260,False,4.400,46
0261,False,4.400,46
0262,False,4.400,46
0263,False,4.400,46
0264,False,4.400,46
0265,True,8.400,85
0266,False,4.400,46
0267,False,4.400,46
0268,False,4.400,46
0269,False,4.400,46
0270,False,4.400,45
0271,False,4.400,46
0272,False,4.400,46
0273,False,4.400,46
0274,False,4.400,46
0275,True,8.400,85
0276,False,4.400,46
0277,False,4.400,46
0278,False,4.400,46
0279,False,4.400,46
0280,False,4.400,46
0281,False,4.400,46
0282,False,4.400,46
0283,True,8.400,85
0284,True,8.400,85
0285,True,8.400,85
0286,False,4.400,46
0287,False,4.400,46
0288,True,8.400,85
0289,False,4.400,46
0290,False,4.400,46
0291,False,4.400,46
0292,True,8.400,85
0293,False,4.400,46
0294,True,8.400,85
0295,True,8.400,85
0296,False,4.400,45
0297,True,8.400,85
0298,False,4.400,46
0299,False,4.400,46
0300,True,8.400,85
0301,False,4.400,46
0302,False,4.400,46
0303,False,4.400,46
0304,True,8.400,85
0305,False,4.400,46
0306,False,4.400,46
0307,False,4.400,46
0308,False,4.400,46
0309,False,4.400,46
0310,False,4.400,46
0311,False,4.400,46
0312,False,4.400,45
0313,False,4.400,46
0314,False,4.400,46
0315,False,4.400,46
0316,False,4.400,46
0317,False,4.400,46
